Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
Chhupa Rustam A Musical Thriller (tt0279021),1165,8127,0.174,0.105,1,3.25,9.47,0,0,"Drama, Musical, Romance",0,127,Aziz Sejawal,"Sanjay Kapoor, Mamta Kulkarni, Manisha Koirala"
Chingaari (tt0454429),1842,12778,0.16,0.089,1,8.5,12,0,0,Drama,1,155,Kalpana Lajmi,"Sushmita Sen, Mithun Chakraborty, Anuj Sawhney"
Chintu Ji (tt1135931),1712,10392,0.202,0.083,1,7,0.12,0,0,"Comedy, Drama",0,115,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa"
Chintu Ka Birthday (tt8472964),1127,5541,0.168,0.114,1,3,0.47,0,0,"Comedy, Drama, War",0,80,"Devanshu Singh, Satyanshu Singh","Vinay Pathak, Tillotama Shome, Seema Pahwa"
Chittagong (tt1785333),1281,6258,0.122,0.12,0.98,5,0.5,0,0,"Action, Drama, War",0,105,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale"
Chor Chor Super Chor (tt2337292),2061,8522,0.12,0.079,1,5,0.07,0,0,"Comedy, Drama, Thriller",0,99,Rajesh. K.,"Deepak Dobriyal, Priya Bathija, Anshul Kataria"
Chor Machaaye Shor (tt0331216),3277,14713,0.158,0.132,1,8.5,13.62,0,0,"Action, Comedy",0,145,David Dhawan,"Bobby Deol, Shilpa Shetty Kundra, Bipasha Basu"
Chor Nikal Ke Bhaga (tt22297828),1900,8786,0.139,0.136,-0.821,5,9,0,0,"Crime, Drama, Thriller",1,110,Ajay Singh,"Yami Gautam, Sunny Kaushal, Sharad Kelkar"
Chori Chori (tt0326805),1844,8462,0.171,0.068,1,9,5.64,0,0,"Comedy, Romance, Musical",0,135,Milan Luthria,"Ajay Devgn, Sonali Bendre, Rani Mukerji"
Chori Chori Chupke Chupke (tt0256692),2635,10408,0.161,0.062,1,13,37.16,0,0,"Comedy, Drama, Musical",0,165,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Salman Khan, Rani Mukerji, Preity G Zinta"
